<<<<<<< HEAD
"id" "country_num" "week" "infected_number" "infected_percentage" "code"
"1" 1 1 13 0.0000389572113469171 "AFG"
"2" 2 1 0 0 "ALB"
"3" 3 1 0 0 "DZA"
"4" 4 1 10 0.0000228064333390646 "ARG"
"5" 5 1 0 0 "ARM"
"6" 6 1 27 0.000111068466304913 "AUS"
"7" 7 1 44 0.000513440890642575 "AUT"
"8" 8 1 8 0.000572725795355051 "BHR"
"9" 9 1 5 0.0000030691630240203 "BGD"
"10" 10 1 0 0 "BRB"
"11" 11 1 6 0.0000632809862468268 "BLR"
"12" 12 1 8 0.0000703486691087035 "BEL"
"13" 13 1 4 0.000510137061074884 "BTN"
"14" 14 1 0 0 "BIH"
"15" 15 1 15 0.00000715758404244314 "BRA"
"16" 16 1 3 0.0000422666416448148 "BGR"
"17" 17 1 0 0 "BFA"
"18" 18 1 4 0.0000252728823678113 "KHM"
"19" 19 1 3 0.000012539495754273 "CMR"
"20" 20 1 314 0.000865338502509123 "CAN"
"21" 21 1 0 0 "CAF"
"22" 22 1 3 0.0000165454710909256 "CHL"
"23" 23 1 2872 0.000207766152354867 "CHN"
"24" 24 1 8 0.0000164425032790462 "COL"
"25" 25 1 44 0.000905868338625114 "CRI"
"26" 26 1 7 0.000165680434158477 "HRV"
"27" 27 1 6 0.0000526644295402158 "CUB"
"28" 28 1 4 0.0000379216724064278 "CZE"
"29" 29 1 30 0.000527171286737249 "DNK"
"30" 30 1 0 0 "DOM"
"31" 31 1 4 0.0000244119020228312 "ECU"
"32" 32 1 224 0.00023987087921908 "EGY"
"33" 33 1 1 0.0000162696360270915 "SLV"
"34" 34 1 8 0.000611105000061111 "EST"
"35" 35 1 700 0.00068726317156559 "ETH"
"36" 36 1 0 0 "FJI"
"37" 37 1 11 0.000199134525147432 "FIN"
"38" 38 1 59 0.000091235050267188 "FRA"
"39" 39 1 0 0 "GUF"
"40" 40 1 7 0.00017588907530339 "GEO"
"41" 41 1 11 0.0000136337127806303 "DEU"
"42" 42 1 0 0 "GHA"
"43" 43 1 50 0.000457898143122292 "GRC"
"44" 44 1 2 0.000425037243888496 "GLP"
"45" 45 1 2 0.0000119954733881622 "GTM"
"46" 46 1 10 0.00012210756186488 "HND"
"47" 47 1 0 0 "HUN"
"48" 48 1 4 0.00120562544834196 "ISL"
"49" 49 1 3 0.000000226107660276098 "IND"
"50" 50 1 31 0.0000118964882717895 "IDN"
"51" 51 1 16 0.0000426124795013999 "IRQ"
"52" 52 1 104 0.00220619759087466 "IRL"
"53" 53 1 169 0.00206287169072353 "ISR"
"54" 54 1 14 0.000023410978183577 "ITA"
"55" 55 1 1 0.0000356714544892882 "JAM"
"56" 56 1 207 0.000163864718513068 "JPN"
"57" 57 1 39 0.000503368698211105 "JOR"
"58" 58 1 58 0.000324831994652145 "KAZ"
"59" 59 1 1 0.00000211633721539418 "KEN"
"60" 60 1 16 0.000265174221949829 "KGZ"
"61" 61 1 17 0.00086923530813369 "LVA"
"62" 62 1 5 0.0000834982005302804 "LBN"
"63" 63 1 4 0.000140349399830879 "LTU"
"64" 64 1 4 0.000694151599238516 "LUX"
"65" 65 1 4 0.0000160540559328125 "MDG"
"66" 66 1 4 0.000013007452424755 "MYS"
"67" 67 1 0 0 "MDV"
"68" 68 1 1 0.00000551424923358828 "MLI"
"69" 69 1 24 0.0057195286155166 "MLT"
"70" 70 1 5 0.00126146673259933 "MTQ"
"71" 71 1 0 0 "MRT"
"72" 72 1 12 0.000939364785875711 "MUS"
"73" 73 1 97 0.0000754089161201282 "MEX"
"74" 74 1 34 0.00113090415121652 "MNG"
"75" 75 1 0 0 "MNE"
"76" 76 1 7 0.0000201050835272876 "MAR"
"77" 77 1 0 0 "MOZ"
"78" 78 1 0 0 "MMR"
"79" 79 1 47 0.000162907563094532 "NPL"
"80" 80 1 57 0.000335694403603261 "NLD"
"81" 81 1 1 0.000375331699389335 "NCL"
"82" 82 1 0 0 "NZL"
"83" 83 1 5 0.0000813003503232095 "NIC"
"84" 84 1 2 0.00000965470665742711 "NER"
"85" 85 1 3 0.00000160438477932353 "NGA"
"86" 86 1 357 0.0067716776195865 "NOR"
"87" 87 1 125 0.00268558983394676 "OMN"
"88" 88 1 36 0.0000186696328702784 "PAK"
"89" 89 1 9 0.000225540959992542 "PAN"
"90" 90 1 1 0.0000148689377482183 "PRY"
"91" 91 1 1 0.00000314720500657372 "PER"
"92" 92 1 0 0 "PHL"
"93" 93 1 1 0.00000259113266207969 "POL"
"94" 94 1 89 0.000863705857109668 "PRT"
"95" 95 1 140 0.00610988719402558 "QAT"
"96" 96 1 3 0.0000154856820931935 "ROU"
"97" 97 1 210 0.000146402848547675 "RUS"
"98" 98 1 0 0 "RWA"
"99" 99 1 0 0 "SEN"
"100" 100 1 3 0.0000340417612980351 "SRB"
"101" 101 1 27 0.000473974748731942 "SGP"
"102" 102 1 0 0 "SVK"
"103" 103 1 98 0.00473575913735731 "SVN"
"104" 104 1 0 0 "ZAF"
"105" 105 1 83 0.000180181729121127 "ESP"
"106" 106 1 17 0.0000816882913192832 "LKA"
"107" 107 1 0 0 "SUR"
"108" 108 1 280 0.00284210522041947 "SWE"
"109" 109 1 84 0.00100244919820175 "CHE"
"110" 110 1 1 0.00000146742444660746 "THA"
"111" 111 1 0 0 "TGO"
"112" 112 1 0 0 "TUN"
